<<<<<<< HEAD
tr1,8546226260,2020-09-26 00:00:00,credit_card,t_sC5,2
tr2,5033301748,2022-02-28,bank_transfer,t_sO7,3
tr3,9876614607,2020-11-10,bank_transfer,t_mD6,1
tr4,8489444636,2018-01-18,bank_transfer,t_bC3,1
tr5,2985868871,2016-02-05,bank_transfer,t_bD1,2
tr6,9324386182,2016-10-07,bank_transfer,t_sS1,3
tr7,8870072507,2017-04-23,linepay,t_bD2,2
tr8,8917659255,2019-03-31,linepay,t_mD4,2
tr9,2498515885,2020-11-03,bank_transfer,t_yD6,1
tr10,4346762087,2016-06-19,bank_transfer,t_bS1,1
tr11,6252987953,2024-09-10,linepay,t_sA9,1
tr12,2844888691,2016-05-01,credit_card,t_sS1,1
tr13,4526689504,2017-03-12,bank_transfer,t_sS2,1
tr14,1217026847,2019-02-15,bank_transfer,t_yC4,1
tr15,4100649014,2018-08-17,credit_card,t_sA3,2
tr16,6571823469,2022-03-07,credit_card,t_mO7,2
tr17,2246334757,2020-11-01,credit_card,t_sS6,1
tr18,2821540639,2018-12-01,bank_transfer,t_sO4,1
tr19,5148835119,2021-03-27,bank_transfer,t_yS6,2
tr20,6234572028,2024-05-03,linepay,t_sO9,3
tr21,9295836467,2024-08-18,bank_transfer,t_bO9,1
tr22,6328333082,2021-08-17,linepay,t_mC6,1
tr23,8337363954,2021-09-20,bank_transfer,t_mO6,1
tr24,4958237274,2018-09-30,bank_transfer,t_yS3,1
tr25,6112994932,2021-08-29,linepay,t_bO6,1
tr26,4518182775,2024-10-19,bank_transfer,t_yO9,7
tr27,2847730908,2024-10-07,bank_transfer,t_sC9,1
tr28,9261117983,2019-04-17,bank_transfer,t_sA4,1
tr29,4460935224,2018-01-11,linepay,t_yC3,1
tr30,6680919265,2017-02-15,linepay,t_bC2,1
tr31,1973360525,2022-03-18,credit_card,t_yD7,3
tr32,4733148602,2020-12-13,linepay,t_yD6,6
tr33,1749767421,2023-02-26,linepay,t_bA8,1
tr34,9039225391,2018-04-10,credit_card,t_mC3,4
tr35,9829091221,2020-04-11,credit_card,t_bD5,3
tr36,4769744848,2017-11-08,bank_transfer,t_mD3,1
tr37,5467725653,2023-11-18,bank_transfer,t_mS9,1
tr38,1107868169,2024-11-24,credit_card,t_mS10,3
tr39,9842637644,2017-07-14,bank_transfer,t_bD2,1
tr40,9614811981,2018-02-11,credit_card,t_mC3,1
tr41,4240768389,2022-07-12,credit_card,t_yD7,1
tr42,9357617640,2018-06-24,credit_card,t_mA3,1
tr43,7420778410,2019-07-22,bank_transfer,t_sC4,1
tr44,4113041284,2019-03-21,credit_card,t_mA4,2
tr45,1542190241,2018-10-23,credit_card,t_mS4,4
tr46,3060816989,2021-11-19,bank_transfer,t_bA7,1
tr47,2350419841,2024-08-29,bank_transfer,t_sO9,1
tr48,4854917087,2016-02-27,credit_card,t_mS1,1
tr49,1811853803,2023-10-05,bank_transfer,t_sS8,4
tr50,9696634633,2019-08-30,credit_card,t_mD4,1
tr51,3705514146,2019-12-20,linepay,t_yC5,1
tr52,2361391108,2020-07-03,linepay,t_bO5,1
tr53,9948771096,2017-02-24,credit_card,t_bS2,2
tr54,9563500599,2022-07-28,credit_card,t_mO7,1
tr55,7387163615,2019-01-15,credit_card,t_mO4,1
tr56,2229826666,2017-02-13,bank_transfer,t_mA2,2
tr57,9221178092,2022-11-10,bank_transfer,t_yS8,2
tr58,8474048488,2017-06-04,bank_transfer,t_bO2,5
tr59,7163122138,2018-03-29,credit_card,t_mD3,3
tr60,6723458479,2018-08-16,bank_transfer,t_mO3,5
tr61,9929908307,2018-02-18,bank_transfer,t_yC3,4
tr62,2948003480,2021-03-03,credit_card,t_sD6,1
tr63,9945076851,2022-07-26,bank_transfer,t_bA7,3
tr64,6610181555,2020-08-26,credit_card,t_sO5,2
